Name ,Cuisine ,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
Sulimay's Restauraunt,Breakfast/Brunch,$,4.4,No
The Dutch,Breakfast/Brunch,$$,3.9,Yes
Front Street Cafe,Brunch,$$,4,Yes
Honey's Sit 'n Eat,Brunch,$$,3.9,No
Mabu Kitchen,Brunch,$$,4.1,Yes
Silk City,Brunch,$,4.4,No
Winkel,Brunch,$$,3.9,No
Little Delicious,Caribbean,$,4.4,Yes
Ocho Rios Parilla,Caribbean,$,3.9,No
Quality Taste Jamaican Restaurant & Jerk Hut,Caribbean,$,4.1,No
Reggae Reggae Vibes,Caribbean,$,4.3,No
Angelo's Pizzeria,Cheesesteaks,$,3.9,Yes
Cleavers,Cheesesteaks,$$,4.6,No
Dalessandro's Steaks,Cheesesteaks,$,4.3,Yes
Donkey's Place,Cheesesteaks,$,4.1,Yes
Ishkabibble's II,Cheesesteaks,$,4.4,No
Jim's South Street,Cheesesteaks,$,4.3,No
Larry's Steaks,Cheesesteaks,$,3.9,No
Max's Steaks,Cheesesteaks,$,4,No
Steve's Prince of Steaks,Cheesesteaks,$,4.5,Yes
Tony and Nick's Steaks,Cheesesteaks,$,3.8,No
Bing Bing Dim Sum ,Chinese,$$,4.3,No
Dan Dan Rittenhouse,Chinese,$$,4.1,No
David's Mai Lai Wah ,Chinese,$$,4.2,No
Dim Sum Garden ,Chinese,$,4.5,No
Dim Sum House by Jane G's,Chinese,$$,4.2,Yes
Emei,Chinese,$$,4.3,No
Han Dynasty - Old City,Chinese,$$,3.9,No
Lau Kee,Chinese,$$,4.3,No
Nan Zhou Hand Drawn Noodle House,Chinese,$$,3.9,No
Sang Kee Noodle House,Chinese,$$,3.9,No
Sang Kee Peking Duck House,Chinese,$$,4.1,Yes
Shing Kee,Chinese,$$,4.2,No
Yi Pin Restaurant,Chinese,$$,4.3,No
Xing Wang,Chinese ,$,4.6,No
Vesper Center City,Club,$$$,4.4,No
Woody's,Club,$$,4.5,No
Dunkin',Coffee/Donuts,$,4.6,Yes
Bower Cafe 1213 ,Coffeeshop,$$,4.6,Yes
Cafe Walnut,Coffeeshop,$,4.1,No
Elixr Coffee Roasters,Coffeeshop,$$,4,No
Function Coffee Labs,Coffeeshop,$,4.1,No
Hive,Coffeeshop,$$,4.3,No
ICI Macaraons & Cafe,Coffeeshop,$$,4.6,No
J'aime French Bakery,Coffeeshop,$,4.1,No
J'aime French Cafe,Coffeeshop,$,4.3,No
La Colombe Coffee Roasters,Coffeeshop,$$,4.2,Yes
Machine Shop,Coffeeshop,$,3.7,No
Musette,Coffeeshop,$$,4.1,Yes
Nook Bakery & Coffee Bar,Coffeeshop,$,4.4,No
One Shot Coffee,Coffeeshop,$$,3.9,No
Reanimator Coffee,Coffeeshop,$,4,No
Suprema Coffee Roastery,Coffeeshop,$$,4.4,No
The daily.,Coffeeshop,$$,4.1,No
The Ground Rittenhouse,Coffeeshop,$$,4.3,Yes
The Last Drop Coffee House,Coffeeshop,$,4,No
Ultimo Coffee,Coffeeshop,$$,4.1,No
Vernick Coffee Bar,Coffeeshop,$$,4.2,No
Vibrant Coffee Roasters & Bakery,Coffeeshop,$$,4,No
Cuba Libre Restauraunt ,Cuban,$$,3.9,No
12 Steps Down,Dive Bar,$,4.3,No
Bar Jawn,Dive Bar,$,4.5,No
Barcade,Dive Bar,$$,4.3,No
Black Cat Tavern on 12th,Dive Bar,$$,4.1,Yes
Black Taxi,Dive Bar,$$,3.9,No
Bob and Barbara's Lounge,Dive Bar,$,4.6,Yes
Bonnie's Capistrano Bar,Dive Bar,$,4.2,No
Fergie's Pub,Dive Bar,$,4.4,No
Fountain Porter,Dive Bar,$,4.5,No
Frankford Tiki Bar,Dive Bar,$,4.4,No
Garage Bar,Dive Bar,$,3.9,Yes
Grape Room,Dive Bar,$,3.9,No
Howl at the Moon,Dive Bar,$,4.2,Yes
Local 44 Restaurant & Bar ,Dive Bar,$,4.4,Yes
Royal Tavern,Dive Bar,$$,4.1,No
Tatooed Mom,Dive Bar,$,4.4,No
The Jug Handle Inn,Dive Bar,$,4.5,No
The Post ,Dive Bar,$$,4.4,No
The Pub on Passyunk East,Dive Bar,$$,4.3,Yes
